City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,cidreira,-30.1811,-50.2056,19.920000000000016,61,42,6.24,BR,1700856642
161,margaret river,-33.95,115.0667,17.730000000000018,62,5,5.9,AU,1700856643
162,burumburum,11.3911,8.7234,26.30000000000001,35,100,0.56,NG,1700856644
163,neftcala,39.3742,49.2472,15.170000000000016,72,98,2.13,AZ,1700856644
164,piti village,13.4626,144.6933,26.180000000000007,93,75,3.09,GU,1700856645
165,huarmey,-10.0681,-78.1522,23.329999999999984,72,82,5.36,PE,1700856646
166,hammerfest,70.6634,23.6821,-4.600000000000023,68,40,0.51,NO,1700856646
167,magdagachi,53.45,125.8,-19.060000000000002,53,12,4.62,RU,1700856647
168,kandyagash,49.4744,57.4233,-2.7099999999999795,95,100,9.68,KZ,1700856648
169,bilibino,68.0546,166.4372,-16.089999999999975,90,100,1.65,RU,1700856648
170,baise city,23.8997,106.6133,20.339999999999975,99,73,1.15,CN,1700856649
171,santa ana,33.7456,-117.8678,21.80000000000001,60,40,4.12,US,1700856603
172,wynyard,-41.0,145.7167,15.819999999999993,94,100,4.23,AU,1700856520
173,labuan,5.2767,115.2417,26.829999999999984,83,34,2.89,MY,1700856606
174,yangchun,22.1667,111.7833,17.839999999999975,89,14,1.33,CN,1700856652
175,vorgashor,67.5833,63.95,-13.639999999999986,88,100,4.35,RU,1700856653
176,nema,57.5067,50.5011,-10.569999999999993,92,100,4.48,RU,1700856654
177,hirara,24.8,125.2833,21.829999999999984,72,100,11.6,JP,1700856654
178,nemuro,43.3236,145.575,0.3299999999999841,68,96,11.44,JP,1700856655
179,misratah,32.3754,15.0925,18.319999999999993,45,87,4.95,LY,1700856656
180,tual,-5.6667,132.75,28.779999999999973,74,99,1.76,ID,1700856439
181,seosan,36.7817,126.4522,0.12999999999999545,64,87,4.09,KR,1700856658
182,papatowai,-46.5619,169.4708,10.230000000000018,54,0,2.75,NZ,1700856659
183,villa ocampo,-28.4875,-59.3551,26.269999999999982,50,96,3.63,AR,1700856659
184,nagqu,31.5,92.0,-6.019999999999982,57,70,2.34,CN,1700856660
185,show low,34.2542,-110.0298,10.310000000000002,46,40,13.89,US,1700856661
186,port elizabeth,-33.918,25.5701,19.769999999999982,86,100,1.34,ZA,1700856406
187,keflavik,64.0049,-22.5624,4.389999999999986,93,75,9.26,IS,1700856662
188,fayetteville,35.0527,-78.8784,16.529999999999973,61,75,2.06,US,1700856663
189,louhans,46.6667,5.1667,6.089999999999975,90,97,0.45,FR,1700856664
190,ust'-ilimsk,58.0006,102.6619,-21.370000000000005,98,59,1.2,RU,1700856664
191,al majaridah,19.1236,41.9111,26.80000000000001,79,27,1.2,SA,1700856665
192,kalmunai,7.4167,81.8167,26.100000000000023,84,81,1.19,LK,1700856666
193,kodiak,57.79,-152.4072,7.8799999999999955,87,100,0.0,US,1700856667
194,namibe,-15.1961,12.1522,24.069999999999993,86,70,1.95,AO,1700856667
195,turkmenbasy,40.0222,52.9552,12.389999999999986,58,44,4.34,TM,1700856669
196,constantia,44.1833,28.65,11.529999999999973,84,100,4.24,RO,1700856670
197,el porvenir,13.7617,-87.3458,28.779999999999973,55,88,1.22,HN,1700856672
198,bamboo flat,11.7,92.7167,28.19999999999999,74,40,2.57,IN,1700856672
199,robore,-18.3333,-59.75,25.19999999999999,94,100,0.0,BO,1700856673
200,tura,25.5198,90.2201,17.69999999999999,82,0,1.29,IN,1700856674
201,murghob,38.1702,73.9667,-8.420000000000016,45,76,2.12,TJ,1700856675
202,general villegas,-35.0328,-63.0125,32.35000000000002,17,98,4.23,AR,1700856676
203,ovria,38.1833,21.7167,14.75,83,94,2.51,GR,1700856677
204,smithers,54.7804,-127.1743,3.990000000000009,89,100,0.27,CA,1700856678
205,minas de marcona,-15.2119,-75.1103,20.94999999999999,56,56,7.0,PE,1700856680
206,yuxia,34.0615,108.6291,3.170000000000016,46,58,1.59,CN,1700856680
207,arkhangel'sk,64.5401,40.5433,-11.449999999999989,95,100,1.14,RU,1700856681
208,bayramaly,37.6185,62.1671,11.589999999999975,52,100,2.33,TM,1700856682
209,vadso,70.0744,29.7487,0.6399999999999864,80,40,7.72,NO,1700856683
210,ketchikan,55.3422,-131.6461,8.139999999999986,100,100,2.57,US,1700856684
211,ust-nera,64.5667,143.2,-29.97,99,100,3.4,RU,1700856685
212,inhambane,-23.865,35.3833,24.180000000000007,91,0,2.39,MZ,1700856686
213,kargopol',61.5071,38.9456,-12.149999999999977,94,100,1.97,RU,1700856687
214,diu,20.7141,70.9822,25.579999999999984,56,0,3.56,IN,1700856687
215,comodoro rivadavia,-45.8667,-67.5,16.089999999999975,56,0,4.61,AR,1700856490
216,gaalkacyo,6.7697,47.4308,25.600000000000023,76,100,7.92,SO,1700856689
217,saint-joseph,-21.3667,55.6167,23.360000000000014,74,31,6.11,RE,1700856690
218,grand-lahou,5.1367,-5.0242,27.139999999999986,83,26,4.9,CI,1700856691
219,broken hill,-31.95,141.4333,17.55000000000001,59,0,2.86,AU,1700856691
220,dzhubga,44.3211,38.7039,14.420000000000016,89,100,11.45,RU,1700856692
221,puerto salgar,5.463,-74.6544,31.980000000000018,61,66,0.78,CO,1700856693
222,tefe,-3.3542,-64.7114,32.20999999999998,66,40,1.03,BR,1700856694
223,toyohama,34.7,136.9333,10.149999999999977,66,29,11.92,JP,1700856695
224,ouadda,8.0777,22.4007,23.399999999999977,56,84,1.35,CF,1700856696
225,st. john's,47.5649,-52.7093,6.800000000000011,90,90,3.13,CA,1700856511
226,mao,39.8885,4.2658,14.45999999999998,82,0,4.12,ES,1700856698
227,yeroham,30.9872,34.9314,17.0,49,96,1.26,IL,1700856699
228,yarmouth,41.7057,-70.2286,10.689999999999998,54,0,7.15,US,1700856700
229,suoyarvi,62.0833,32.35,-12.180000000000007,93,100,2.99,RU,1700856701
230,port alfred,-33.5906,26.891,19.139999999999986,97,100,3.03,ZA,1700856701
231,chifeng,42.2683,118.9636,-10.160000000000025,34,11,1.19,CN,1700856703
232,yelizovo,53.1873,158.3805,-2.180000000000007,96,75,1.79,RU,1700856703
233,antalaha,-14.9003,50.2788,23.220000000000027,84,51,3.5,MG,1700856704
234,bandar-e lengeh,26.5579,54.8807,25.420000000000016,66,52,4.52,IR,1700856705
235,hadibu,12.65,54.0333,26.149999999999977,72,10,3.22,YE,1700856705
236,bardai,11.65,7.2333,26.29000000000002,42,100,2.84,NG,1700856706
237,cadale,2.7603,46.3222,27.220000000000027,73,100,6.12,SO,1700856707
238,horta,38.5333,-28.6333,17.94999999999999,90,20,4.47,PT,1700856489
239,ghanzi,-21.5667,21.7833,26.95999999999998,46,100,4.9,BW,1700856708
240,embi,48.8264,58.1442,-2.75,88,76,8.18,KZ,1700856709
241,kailua-kona,19.6406,-155.9956,27.129999999999995,79,20,3.09,US,1700856710
242,kerikeri,-35.2268,173.9474,14.389999999999986,55,2,4.76,NZ,1700856711
243,polyarnyy,69.1989,33.4478,-0.4700000000000273,81,100,6.82,RU,1700856711
244,richmond,37.5538,-77.4603,13.139999999999986,57,75,2.57,US,1700856101
245,hobyo,5.3505,48.5268,26.529999999999973,68,95,4.4,SO,1700856713
246,rongelap,11.1635,166.8941,27.889999999999986,69,15,9.69,MH,1700856713
247,bandarbeyla,9.4942,50.8122,26.480000000000018,67,92,6.07,SO,1700856714
248,zeya,53.75,127.2667,-16.80000000000001,43,25,2.98,RU,1700856715
249,thakhek,17.4103,104.8307,17.69999999999999,91,69,1.84,LA,1700856716
250,dzuunmod,48.2199,97.3744,-15.110000000000014,89,47,3.02,MN,1700856716
251,debre mark'os,10.35,37.7333,11.670000000000016,65,20,2.78,ET,1700856717
252,nuku'alofa,-21.1333,-175.2,26.339999999999975,78,20,2.57,TO,1700856718
253,itoman,26.1247,127.6694,19.360000000000014,63,100,8.23,JP,1700856719
254,tolanaro,-25.0319,46.9987,23.980000000000018,83,28,8.82,MG,1700856719
255,cukai,4.25,103.4167,24.470000000000027,93,100,2.74,MY,1700856720
256,ola,59.5833,151.2833,-19.039999999999992,89,100,10.02,RU,1700856721
257,susuman,62.7833,148.1667,-25.189999999999998,95,100,2.4,RU,1700856722
258,san patricio,28.017,-97.5169,22.069999999999993,60,68,4.57,US,1700856722
259,fort bragg,35.139,-79.006,16.160000000000025,62,100,0.45,US,1700856723
260,iskateley,67.6803,53.1512,-9.839999999999975,94,100,4.92,RU,1700856724
261,kalymnos,36.95,26.9833,18.889999999999986,77,40,6.17,GR,1700856725
262,old orchard beach,43.5173,-70.3775,4.100000000000023,52,20,8.23,US,1700856725
263,nova vicosa,-17.8919,-39.3719,27.689999999999998,76,47,5.56,BR,1700856726
264,mahdia,35.5047,11.0622,16.120000000000005,60,29,3.88,TN,1700856727
265,ebon,4.582,168.6964,28.55000000000001,80,93,5.88,MH,1700856729
266,carnarvon,-24.8667,113.6333,21.0,81,2,5.07,AU,1700856729
267,shendi,16.6915,33.4341,31.220000000000027,30,5,4.67,SD,1700856730
268,berber,18.0216,33.983,29.230000000000018,25,97,6.07,SD,1700856731
269,coquimbo,-29.9533,-71.3436,17.00999999999999,73,100,3.47,CL,1700856682
270,murzuq,25.9155,13.9184,14.639999999999986,28,0,3.72,LY,1700856732
271,enewetak,11.3474,162.3373,28.569999999999993,71,41,7.76,MH,1700856733
272,petropavlovka,50.6114,105.3196,-15.95999999999998,96,100,0.55,RU,1700856734
